category,final,initial,market,name,price
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Italiano  SANGIOVESE RUBICONE  750ml,24.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Português JMF 750ml,24.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Português LATITUDE ALENTEJO 750ml,24.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Português TERRAS DE FELGUEIRAS Vinhão 750ml,23.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Chileno COSECHA TARAPACÁ 750ml,23.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Português CASAL MOR  BAIRRADA 750ml,21.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Chileno  COSTA VERA  750ml,19.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Argentino BODEGAS RESERVADAS 750ml,18.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Branco Português TERRAS DE FELGUEIRAS Alvarinho 750ml,37.80
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Português MARÉ VIVA SELECTION ALENTEJO 750ml,37.80
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Francês LA CROIX D’AUSTÉRAN Bordeaux 750ml,35.80
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Chileno MONTE BLANCO Reserva ou NOSTROS  Reserva 750ml,28.80
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Português MATEUS Rosé 750ml,28.80
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Cerveja Belga  HOEGAARDEN Witbier 330ml,6.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Cerveja Americana GOOSE Midway  Session IPA 355ml,8.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Argentino TRIVENTO TRIBU Malbec 750ml ,28.80
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Português QUARTZO 750ml,28.80
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Cerveja  CACILDIS 355ml,4.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Cerveja PETRA ORIGEM Lata 350ml,2.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Cerveja PRAYA Witbier 600ml,12.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Cerveja IMPÉRIO Puro Malte Tipo Pilsen 600ml,4.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Português VELHARIA Reserva 750ml,26.80
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Cerveja Alemã BECK’S 275ml,3.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Cerveja STELLA ARTOIS Lata 310ml,2.90
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Italiano BAROLO DOCG  LANGATES 750ml,139.50
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho do Porto DOM JOSÉ 750ml,68.50
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Português QUARTZO  Reserva 750ml,59.50
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,"Vinho Italiano CONTE DI CAMPIANO APPASSIMENTO,  MALVASIA NERA ou PRIMITIVO DI  MANDURIA 750ml",59.50
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Chileno ART NOSTROS  Gran Reserva 750ml,59.50
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho do Porto FERREIRA 750ml,58.50
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho do Porto TOWER´S 750ml,39.50
bebidas-alcoolicas,17/04/2019,29/03/2019,mundial,Vinho Francês  BLAISSAC  Bordeaux 750ml,39.50
bebidas,17/04/2019,29/03/2019,mundial,Suco de Uva Tinto Integral CASA MADEIRA 1 L,16.50
bebidas,17/04/2019,29/03/2019,mundial,Suco de Caju CURUMATAN 1 L,3.50
bebidas,17/04/2019,29/03/2019,mundial,Suco de Maracujá CURUMATAN 1 L,7.50
bebidas,17/04/2019,29/03/2019,mundial,"Chá-Mate  REI DO MATE  Vários Sabores  Pet 1,5 L",4.50
bebidas,17/04/2019,29/03/2019,mundial,Energético TNT Vários Tipos  Lata 269ml,3.50
bebidas,17/04/2019,29/03/2019,mundial,Chá LIFE MIX Funcional Vários Sabores TP 1 L,5.58
bebidas,17/04/2019,29/03/2019,mundial,"Água Mineral  c/ Gás  BONAFONT  1,27 L",1.58
bebidas,17/04/2019,29/03/2019,mundial,"Água Mineral s/ Gás  BONAFONT c/ 4 de 1,5 L LEVE MAIS PAGUE MENOS",6.58
bebidas,17/04/2019,29/03/2019,mundial,Água de Coco  OBRIGADO TP 1 L,6.58
bebidas,17/04/2019,29/03/2019,mundial,Néctar  DAFRUTA  Vários Sabores TP 1 L,2.58
