category,final,initial,market,name,price
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Cerveja COLORADO Ribeirão Lager Lata 410ml,5.99
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Cerveja ANTARCTICA Original Lata 350ml,2.99
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Cerveja PETRA  Origem Lata 350ml,2.99
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Vinho Italiano AMERIGO VESPUCCI AMARONE DOCG 750ml,148.99
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Vinho Italiano BAROLO LANGATES  DOCG 750ml,139.99
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Vinho Espanhol FAUSTINO V Reserva 750ml,88.99
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Vinho Argentino UNÁNIME 750ml,85.99
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Vinho Italiano CONTE DI  CAMPIANO  PRIMITIVO DI  MANDURIA Reserva 750ml,78.99
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Vinho Português CHAMINÉ 750ml,63.80
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Vinho Português FUNDAÇÃO EUGÊNIO DE ALMEIDA  750ml,43.80
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Vinho  Chileno CASILLERO DEL DIABLO 750ml,38.80
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Vinho  do Porto TOWER’S PORT 750ml,35.80
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Cerveja PRAYA Witbier 600ml,12.80
bebidas,27/08/2019,08/08/2019,mundial,Suco de Caju MAGUARY  500ml,2.78
bebidas,27/08/2019,08/08/2019,mundial,Refresco  PARATI TRINK Vários Sabores 25g,0.78
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Cerveja BADEN BADEN Vários Tipos 600ml,9.80
bebidas-alcoolicas,27/08/2019,08/08/2019,mundial,Cerveja COLORADO Ribeirão Lager 600ml,8.80
